English,German
stomach,Magen
stone,Stein
stop,Pause
store,Laden
storm,Sturm
story,Geschichte
stove,Herd
straight,gerade
strain,Beanspruchung
strange,seltsam
strangely,seltsam
stranger,Fremder
strategy,Strategie
stream,Strom
street,Straße
strength,Stärke
stress,betonen
stressed,betont
stretch,strecken
strict,strikt
strictly,streng
strike,schlagen
striking,streikend
string,Saite
strip,Streifen
stripe,Streifen
striped,gestreift
stroke,streicheln
strong,stark
strongly,stark
structure,Struktur
struggle,Kampf
student,Schüler
studio,Studio
study,lernen
stuff,Sachen
stupid,dumm
style,Stil
subject,Thema
substance,Substanz
substantial,substanziell
substantially,im Wesentlichen
substitute,Ersatz
succeed,erfolgreich
success,Erfolg
successful,erfolgreich
successfully,erfolgreich
such,eine solche
suck,saugen
sudden,plötzlich
suddenly,plötzlich
suffer,leiden
suffering,leiden
sufficient,reicht aus
sufficiently,ausreichend
sugar,Zucker
suggest,empfehlen
suggestion,Anregung
suit,passen
suitable,geeignet
suitcase,Koffer
suited,geeignet
sum,Summe
summary,Zusammenfassung
summer,Sommer
sum up,zusammenfassen
sun,Sonne
Sunday,Sonntag
superior,Vorgesetzter
supermarket,Supermarkt
supply,liefern
support,Unterstützung
supporter,Fan
suppose,vermuten
sure,sicher
surely,sicherlich
surface,auftauchen
surname,Familien-oder Nachname
surprise,Überraschung
surprised,überrascht
surprising,überraschend
surprisingly,überraschenderweise
surround,umgeben
surrounding,umgeben
surroundings,Umfeld
survey,Umfrage
survive,überleben
suspect,vermuten
suspicion,Verdacht
suspicious,verdächtig
swallow,schlucken
swear,schwören
swearing,Fluchen
sweat,Schweiß
sweater,Pullover
sweep,fegen
sweet,süß
swell,anschwellen
swelling,Schwellung
swim,schwimmen
swimming,Baden
swimming pool,Schwimmbad
swing,schwingen
switch,Schalter
switch off,ausschalten
swollen,geschwollen
symbol,Symbol
sympathetic,sympathisch
sympathy,Sympathie
table,Tisch
tablet,Tablette
tackle,angehen
tail,Schwanz
take,nehmen
take away,wegbringen
take back,zurücknehmen
take down,herunter nehmen
take in,aufnehmen
take off,abheben
take on,übernehmen
take over,übernehmen
take up,aufheben
talk,sich unterhalten
tall,hoch
tank,Panzer
tap,klopfen
tape,Band
target,Ziel
task,Aufgabe
taste,Geschmack
tax,MwSt
taxi,Taxi
tea,Tee
teach,unterrichten
teacher,Lehrer
teaching,Lehren
team,Mannschaft
tear,Träne
tear up,zerreißen
technical,technisch
technique,Technik
technology,Technologie
telephone,Telefon
television,Fernsehen
tell,erzählen
tell off,aussprechen
temperature,Temperatur
temporarily,vorübergehend
temporary,vorübergehend
ten,zehn
tend,neigen
tendency,Tendenz
tension,Spannung
tent,Zelt
tenth,Zehntel
term,Begriff
terrible,abscheulich
terribly,fürchterlich
test,Prüfung
text,Text
than,als
thank,danken
thanks,Danke
thank you,Danke
that,das
the,das
theatre,Theater
their,ihr
theirs,ihre
them,Sie
theme,Thema
themselves,sich
then,dann
theory,Theorie
there,dort
therefore,deshalb
they,sie
thick,dick
thickly,dick
thickness,Dicke
thief,Dieb
thin,dünn
thing,Ding
think,denken
think about,nachdenken über
thinking,Denken
think of,Denk an
think of as,denken Sie an als
think over,überdenken
think up,ausdenken
third,dritte
thirsty,durstig
thirteen,dreizehn
thirteenth,dreizehnte
thirtieth,dreißigste
thirty,dreißig
this,Dies
thorough,gründlich
thoroughly,gründlich
though,obwohl
thought,Gedanke
thousand,tausend
thousandth,Tausendstel
thread,Faden
threat,Drohung
threaten,drohen
threatening,bedrohlich
three,drei
throat,Kehle
through,durch
throughout,hindurch
throw,Wurf
throw away,wegschmeißen
throw out,rausschmeißen
thumb,Daumen
Thursday,Donnerstag
thus,daher
ticket,Fahrkarte
tidy,ordentlich
tie,binden
tie up,Fesseln
tight,fest
tightly,dicht
till,bis
time,Zeit
timetable,Zeitplan
tin,Zinn
tiny,sehr klein
tip,Tipp
tip over,umkippen
tire,Reifen
tired,müde
tire out,ausgelaugt sein
tiring,ermüdend
title,Titel
to,zu
today,heute
toe,Zehe
together,zusammen
toilet,Toilette
tomato,Tomate
tomorrow,Morgen
ton,Tonne
tone,Ton
tongue,Zunge
tonight,heute Abend
tonne,Tonne
too,zu
tool,Werkzeug
tooth,Zahn
top,oben
topic,Thema
total,gesamt
totally,total
touch,berühren
tough,hart
tour,Tour
tourist,Tourist
towards,gegenüber
towel,Handtuch
tower,Turm
town,"Stadt, Dorf"
toy,Spielzeug
trace,verfolgen
track,Spur
trade,handeln
trading,Handel
tradition,Tradition
traditional,traditionell
traditionally,traditionell
traffic,Verkehr
train,Zug
training,Ausbildung
transfer,Transfer
transform,verwandeln
translate,Übersetzen
translation,Übersetzung
transparent,transparent
transport,Transport
transportation,Transport
trap,fangen
travel,reisen
traveller,Reisender
treat,behandeln
treatment,Behandlung
tree,Baum
trend,Trend
trial,Studie
triangle,Dreieck
trick,Trick
trip,Reise
tropical,tropisch
trouble,Problem
trousers,Hose
truck,LKW
true,stimmt
truly,wirklich
trust,vertrauen
truth,Wahrheit
try,Versuchen
try on,anprobieren
try out,ausprobieren
tube,Rohr
Tuesday,Dienstag
tune,Melodie
tunnel,Tunnel
turn,drehen
turn back,zurückdrehen
turn down,abdrehen
turn into,einbiegen in
turn off,schalte aus
turn on,einschalten
turn out,sich herausstellen
turn over,umdrehen
turn round,umdrehen
turn to,sich wenden an
turn up,auftauchen
TV,Fernseher
twelfth,Zwölftel
twelve,zwölf
twentieth,Zwanzigstes
twenty,zwanzig
twice,zweimal
twin,Zwilling
twist,Twist
twisted,verdrehte
two,zwei
type,Typ
typical,typisch
typically,Normalerweise
tyre,Reifen
the unemployed,die Arbeitslosen
the unexpected,das Unerwartete
ugly,hässlich
ultimate,ultimativ
ultimately,letzten Endes
umbrella,Regenschirm
unable,unfähig
unacceptable,inakzeptabel
uncertain,unsicher
uncle,Onkel
uncomfortable,unbequem
unconscious,unbewusst
uncontrolled,unkontrolliert
under,unter
underground,unter Tage
underneath,unterhalb
understand,verstehe
understanding,Verständnis
underwater,Unterwasser
underwear,Unterwäsche
undo,rückgängig machen
unemployed,arbeitslos
unemployment,Arbeitslosigkeit
unexpected,unerwartet
unexpectedly,unerwartet
unfair,unfair
unfairly,unfair
unfortunate,unglücklich
unfortunately,Unglücklicherweise
unfriendly,unfreundlich
unhappy,unzufrieden
uniform,Uniform
unimportant,unwichtig
union,Union
unique,einzigartig
unit,Einheit
unite,Vereinen
united,vereinigt
universe,Universum
university,Universität
unkind,unfreundlich
unknown,Unbekannt
unless,wenn nicht
unlike,nicht wie
unlikely,unwahrscheinlich
unload,entladen
unlucky,unglücklich
unnecessary,nicht notwendig
unpleasant,unangenehm
unreasonable,unvernünftig
unsteady,unstetig
unsuccessful,erfolglos
untidy,unordentlich
until,bis um
unusual,ungewöhnlich
unusually,ungewöhnlich
unwilling,nicht bereit
unwillingly,unfreiwillig
up,hoch
upon,auf
upper,"Oberer, höher"
upset,verärgern
upsetting,störend
upside down,verkehrt herum
upstairs,nach oben
upward,nach oben
upwards,nach oben
urban,urban
urge,Drang
urgent,dringend
us,uns
use,verwenden
used,Gebraucht
used to,gewöhnt an
useful,nützlich
useless,nicht zu gebrauchen
user,Benutzer
use up,verbrauchen
usual,üblich
usually,normalerweise
vacation,Urlaub
valid,gültig
valley,Senke
valuable,wertvoll
value,Wert
van,Van
variation,Variation
varied,abwechslungsreich
variety,Vielfalt
various,verschiedene
vary,variieren
vast,groß
vegetable,Gemüse
vehicle,Fahrzeug
venture,wagen
version,Ausführung
vertical,vertikal
very,sehr
via,über
victim,Opfer
victory,Sieg
video,Video
view,Aussicht
village,Dorf
violence,Gewalt
violent,heftig
violently,heftig
virtually,virtuell
virus,Virus
visible,sichtbar
vision,Vision
visit,Besuch
visitor,Besucher
vital,vital
vocabulary,Wortschatz
voice,Stimme
volume,Volumen
vote,Abstimmung
wage,Lohn
waist,Taille
wait,Warten
waiter,Kellner
wake,aufwachen
walk,Spaziergang
walking,gehen
walk out,hinausgehen
walk up,Gehen Sie hoch
wall,Mauer
wallet,Geldbörse
wander,wandern
want,wollen
war,Krieg
warm,warm
warmth,Wärme
warm up,sich warm laufen
warn,warnen
warning,Warnung
wash,waschen
wash away,wegwaschen
washing,Waschen
wash off,abwaschen
wash out,ausspülen
wash up,waschen
waste,Abfall
watch,Uhr
watch out,Achtung
watch out for,achten Sie auf
water,Wasser
wave,Welle
way,Weg
we,wir
weak,schwach
weakness,die Schwäche
wealth,Vermögen
weapon,Waffe
wear,tragen
wear away,verwischen
wear off,abnutzen
wear out,abnutzen
weather,Wetter
web,Netz
website,Webseite
wedding,Hochzeit
Wednesday,Mittwoch
week,Woche
weekend,Wochenende
weekly,wöchentlich
weigh,wiegen
weight,Gewicht
welcome,willkommen
well,Gut
well known,sehr bekannt
west,Westen
western,Western
wet,nass
what,was
whatever,wie auch immer
wheel,Rad
when,Wenn
whenever,Wann immer
where,wo
whereas,wohingegen
wherever,wo auch immer
whether,ob
which,die
while,während
whisper,flüstern
whistle,Pfeife
white,Weiß
who,wer
whoever,Wer auch immer
whole,ganz
whom,dem
whose,Deren
why,warum
wide,breit
widely,weit
width,Breite
wife,Ehefrau
wild,wild
wildly,wild
will,Wille
willing,bereit
willingly,bereitwillig
willingness,Bereitschaft
win,gewinnen
wind,Wind
window,Fenster
wine,Wein
wing,Flügel
winner,Gewinner
winning,Gewinnen
winter,Winter
wire,Kabel
wise,weise
wish,Wunsch
with,mit
withdraw,abheben
within,innerhalb
without,ohne
witness,Zeuge
woman,Frau
wonder,sich fragen
wonderful,wunderbar
wood,Holz
wooden,hölzern
wool,wolle
word,Wort
work,Arbeit
worker,Arbeiter
working,Arbeiten
work out,trainieren
world,Welt
worried,besorgt
worry,Sorge
worrying,besorgniserregend
worse,schlechter
worship,Verehrung
worst,schlechteste
worth,Wert
would,möchten
wound,Wunde
wounded,verwundet
wrap,wickeln
wrapping,Verpackung
wrist,Handgelenk
write,schreiben
write back,Schreib zurück
write down,aufschreiben
writer,Schriftsteller
writing,Schreiben
written,geschrieben
wrong,falsch
wrongly,zu Unrecht
yard,Hof
yawn,gähnen
yeah,ja
year,Jahr
yellow,gelb
yes,Jawohl
yesterday,gestern
yet,noch
you,Sie
young,jung
your,dein
yours,deine
yourself,dich selbst
youth,Jugend
zero,Null
zone,Zone
